name,category,review_count,address,rate
셀프신화장어,한식,232,경기 시흥시 군서마을로 120-6,4.37
우리동네라운지 시흥점,디저트,231,경기 시흥시 중심상가4길 10-1 정원빌딩 1층,
피자마루 정왕로데오점,한식,223,경기 시흥시 중심상가로 193 쎈타프라자(중심상가로 54),4.5
통닭원5900 시화점,한식,219,경기 시흥시 중심상가로 192,4.35
카페봄봄 시흥정왕로데오점,디저트,212,"경기 시흥시 중심상가3길 11-1 영주빌딩 101호, 104호",
컴포즈커피 시흥정왕역교차로점,디저트,207,경기 시흥시 마유로418번길 12 106호,
수라면가,한식,207,경기 시흥시 봉우재로 197 1증,
백만불 삼계탕,한식,206,경기 시흥시 역전로 165 1층,4.31
김밥천국 정왕역점,한식,205,경기 시흥시 마유로418번길 18 정왕프라자 113호,
구이가,한식,204,경기 시흥시 오동마을로 13,4.39
중국성,중식,203,경기 시흥시 마유로 416 114호,4.26
족발야시장 시흥정왕점,한식,197,경기 시흥시 중심상가4길 16,4.36
BBQ치킨 정왕스타점,한식,196,경기 시흥시 마유로 416,4.39
치칵치칵 정왕역점,한식,195,경기 시흥시 오동마을로 17,4.28
KIM BIN 베트남 쌀국수,한식,193,경기 시흥시 중심상가3길 9 2층 201호,4.48
한식장터,한식,192,경기 시흥시 마유로418번길 12 중앙프라자. 1층 105호,4.38
평양왕족발순대,한식,189,경기 시흥시 중심상가4길 18 1층 106호,4.49
월미당 시흥정왕점,한식,187,경기 시흥시 중심상가4길 24-1 1층 월미당,
컴포즈커피 시흥시화로데오점,디저트,187,경기 시흥시 중심상가3길 11 그린프라자 101호,
허그런치 본점,한식,186,경기 시흥시 마유로 416 108호 허그런치,
대박짬뽕,중식,186,경기 시흥시 오동마을로 33 금광빌딩 1층,4.15
홍희통닭 정왕월드점,한식,186,경기 시흥시 옥구천동로 404,4.53
뚱스컵밥&밥버거 정왕점,한식,181,경기 시흥시 역전로 270,4.26
탕화쿵푸마라탕 시흥정왕점,중식,181,경기 시흥시 오동마을로6번길 17 탕화쿵부마라탕,4.31
마포갈매기 정왕역점,한식,178,경기 시흥시 오동마을로6번길 11-1,4.08
그집냉면,한식,176,경기 시흥시 다솜마을1길 1 1층,4.36
미숙이낙지마당정왕점,한식,174,경기 시흥시 오동마을로6번길 11,3.98
명가꼬치구이,중식,172,경기 시흥시 중심상가3길 25 대원프라자,4.67
빨간떡볶이,한식,169,경기 시흥시 마유로418번길 10 롯데시네마 시화점,4.11
우리할매떡볶이 시흥정왕점,한식,166,경기 시흥시 봉우재로69번길 29-1 1층,4.61
떡군이네떡볶이 시흥정왕점,한식,163,경기 시흥시 마유로 416 월드프라자 109호,4.73
한우부추곱창 정왕역점,한식,160,경기 시흥시 오동마을로6번길 21 103호 한우부추곱창,4.5
호식이두마리치킨 정왕1호점,한식,160,경기 시흥시 정왕신길로139번길 14 한사랑제일교회(상가동),4.27
삼국진순대국,한식,157,경기 시흥시 마유로 415 1층 삼국진순대국,
죽이야기 시흥 시화점,한식,152,경기 시흥시 정왕대로 230 제일프라자(중심상가3길 15),4.49
본죽 시흥정왕역점,한식,149,경기 시흥시 마유로418번길 24,4.48
루다아빠커피연구소,디저트,148,경기 시흥시 마유로 416 1층 117호 일부호,4.55
인오일품왕짜장,중식,144,경기 시흥시 오동마을로 17,4.31
숯불갈비 소담,한식,143,경기 시흥시 중심상가2길 20-13 108호,
옛날흑염소삼계탕,한식,138,경기 시흥시 봉우재로61번길 4-1,4.1
큰맘할매순대국 정왕이마트점,한식,136,경기 시흥시 중심상가3길 11,4.35
옛날김치찌개,한식,135,경기 시흥시 마유로446번길 14 풍산빌딩,3.95
섭카츠,일식,134,경기 시흥시 다솜마을2길 5-2 102호,
투다리 정왕역점,일식,133,경기 시흥시 마유로 416 월드프라자,4.26
장터국밥,한식,132,경기 시흥시 중심상가2길 22 금정프라자,4.18
샐러드박스 시화점,한식,128,경기 시흥시 중심상가4길 18 이송빌딩103호,
카페별,디저트,128,경기 시흥시 중심상가로 200 동산빌딩,4.48
미소야 시흥정왕역점,일식,127,경기 시흥시 마유로418번길 24 104호,4.13
명태식당,한식,127,경기 시흥시 오동마을로5번길 3-5 1층,4.59
배부장찌개 정왕1호점,한식,125,"경기 시흥시 중심상가4길 16 105호, 106호",
동촌추어탕,한식,123,경기 시흥시 다솜마을2길 3-1 1층 101호,
대나무숯불바베큐 정왕역점,한식,121,경기 시흥시 마유로418번길 10 롯데시네마 시화점 1층 103호,4.36
남기남 부대찌개 정왕점,한식,118,경기 시흥시 중심상가4길 30 102호,4.52
302카페,디저트,115,경기 시흥시 중심상가2길 20-13 203호,4.81
맥시멈커피 시흥정왕점,디저트,115,경기 시흥시 역전로 220 상가 1층,
금두꺼비식당,한식,107,경기 시흥시 오동마을로6번안길 11,4.37
감성낙곱새 시흥점,한식,105,경기 시흥시 마유로423번길 12-3 1층,4.58
희래등중화요리,중식,105,"경기 시흥시 중심상가2길 20-13 ,",4.3
나노갈매기 시흥정왕점,한식,101,경기 시흥시 오동마을로6번길 6,4.16
카페온다,디저트,99,경기 시흥시 오동마을로5번길 3-1 1층,5
경성꽈배기 정왕역점,한식,97,경기 시흥시 마유로 415 107호,
김밥나라정왕역점,한식,97,경기 시흥시 오동마을로6번안길 10,3.96
문래돼지불백 정왕점,한식,94,경기 시흥시 오동마을로 9,4.5
BHC치킨 시화로데오점,한식,93,경기 시흥시 중심상가3길 12,4.21
오천갈비,한식,90,경기 시흥시 오동마을로 38 101호,4.54
031프로젝트,디저트,90,경기 시흥시 역전로302번길 7 1층 대진프라자 031프로젝트,
오백년영양탕,한식,87,경기 시흥시 오동마을로6번안길 1 흥산빌딩,4.45
안동국밥,한식,83,경기 시흥시 봉우재로 199,4.28
청춘불뼈찜&감자탕 정왕역점,한식,82,경기 시흥시 마유로418번길 18,
패밀리양꼬치앤패밀리생고기무한리필,중식,82,경기 시흥시 중심상가로 195 수창빌딩2층,
두전콩밭,한식,80,경기 시흥시 중심상가로 199,
오도로참치,일식,79,경기 시흥시 중심상가로 198 영남빌딩,4.4
닭대장 정왕역점,한식,78,경기 시흥시 오동마을로6번길 8,4.44
더조은갈비 정왕점,한식,78,경기 시흥시 중심상가3길 10-1 2층 더조은갈비,4.62
쥬씨 정왕역점,한식,77,경기 시흥시 마유로418번길 18 109호,4.26
CM치킨,한식,70,경기 시흥시 마유로418번길 12 중앙프라자,4.16
멍석집영양탕,한식,68,경기 시흥시 다솜마을2길 4 화신프라자 1층,4.46
노병준보쌈한판 정왕점,한식,67,경기 시흥시 중심상가4길 24-1 나라빌딩,4.48
두찜 시흥시화점,한식,65,경기 시흥시 마유로418번길 10 롯데시네마 시화점 1층 112호,
황소곱창막창,한식,65,경기 시흥시 오동마을로6번길 17,4.08
깐도리네통마늘곱창앤마약김밥,한식,65,"경기 시흥시 정왕신길로111번길 7 115동 1층 102호(정왕동, 월드 아파트 분산상가)",
수산포차,일식,64,경기 시흥시 마유로423번길 6,
스시와쮸,일식,62,경기 시흥시 마유로418번길 10 119호 스시와쮸,4.5
바람난통돼지두루치기,한식,59,경기 시흥시 역전로290번길 15 신영빌딩,4.31
파스타입니다 시흥정왕점,양식,58,경기 시흥시 마유로418번길 10 롯데시네마 시화점 114호 파스타입니다,4.54
웰빙엄마손꼬마김밥 정왕점,한식,58,경기 시흥시 마유로418번길 18,4.13
세숫대야냉면보쌈족발,한식,55,경기 시흥시 군서마을로 120-2,4.38
해솜맛집,한식,55,경기 시흥시 군서마을로 118,4.63
안수미순대국,한식,54,경기 시흥시 봉우재로69번길 8,4.75
천용마라탕,중식,51,경기 시흥시 중심상가3길 23,
제이베이글,디저트,50,"경기 시흥시 중심상가4길 10 105, 106호",
카페초이,디저트,50,경기 시흥시 마유로418번길 10,4.29
마라연구소,중식,49,경기 시흥시 마유로418번길 10 103호,
으뜸남도맛집,한식,49,경기 시흥시 마유로446번길 18 찬현빌딩,3.96
또봉이통닭 경기시흥정왕역점,한식,48,경기 시흥시 오동마을로 27 1층 101호,4.82
시골밥상,한식,47,경기 시흥시 마유로418번길 18,4.33
대박고기꾼정육식당,한식,46,"경기 시흥시 다솜마을2길 4 109, 110, 111호",
빽보이피자 시흥정왕점,한식,46,경기 시흥시 중심상가4길 10 1층,
쌍둥이네하나the닭발,한식,44,경기 시흥시 마유로 446,4.35
장주영의얼큰돼지짬뽕정왕본점,중식,41,경기 시흥시 정왕동,
가온누리,디저트,40,경기 시흥시 마유로418번길 15,
피자선생 정왕배곧점,한식,39,경기 시흥시 정왕신길로111번길 7 월드아파트 후문상가동 1층 107호,
불타는여고24시떡볶이 정왕점,한식,37,경기 시흥시 중심상가4길 16 1층 불타는여고24시떡볶이,
라이크라이크,한식,37,경기 시흥시 중심상가1길 25 1층,4.75
소도둑 시흥정왕점,한식,36,경기 시흥시 오동마을로6번길 23,1.5
